Date,Unnamed: 0,id_num,Total,Hazoret the Fervent,Concealed Courtyard,Snapcaster Mage,"Urborg, Tomb of Yawgmoth",Wall of Omens,Trinisphere,Searing Blaze,Gut Shot,Watery Grave,Flooded Strand,Scavenger Grounds,Magus of the Moon,Sunbaked Canyon,Cataclysmic Gearhulk,Spirebluff Canal,Fiery Islet,Sacred Foundry,Chromatic Star,Nimble Obstructionist,Blinkmoth Nexus,Damping Sphere,Oblivion Stone,Aria of Flame,Darkslick Shores,Altar of Dementia,Noxious Revival,"Hogaak, Arisen Necropolis",Force of Vigor,Knight of Autumn,Stinkweed Imp,"Teferi, Time Raveler",Bojuka Bog,Mausoleum Wanderer,Eldritch Evolution,Geist of Saint Traft,Chancellor of the Tangle,Waterlogged Grove,Primeval Titan,Pithing Needle,Cindervines,Hangarback Walker,Light Up the Stage,"Karn, the Great Creator",Archmage's Charm,Maelstrom Pulse,Raging Ravine,Anger of the Gods,Urza's Tower,Inquisition of Kozilek,Past in Flames,Wooded Foothills,Chord of Calling,Crucible of Worlds,Terminus,"Sai, Master Thopterist",Wurmcoil Engine,Nurturing Peatland,Plague Engineer,Timely Reinforcements,"Ezuri, Renegade Leader",Dreadhorde Arcanist,Gemstone Caverns,Courser of Kruphix,Lightning Helix,Drogskol Captain,Verdant Catacombs,Griselbrand,Hurkyl's Recall,Nourishing Shoal,Remand,Worship,Soul-Scar Mage,Witchbane Orb,Slayers' Stronghold,Shattering Spree,Mutavault,"Narset, Parter of Veils",Reality Smasher,Hornet Queen,Overgrown Tomb,Horizon Canopy,Botanical Sanctum,Thought-Knot Seer,Gaddock Teeg,Skullcrack,Young Pyromancer,Master of Etherium,Snow-Covered Island,Pyromancer Ascension,Spreading Seas,Blood Crypt,Faithless Looting,Path to Exile,Slaughter Pact,Cavern of Souls,Pyretic Ritual,Unmoored Ego,Vesuva,Mindslaver,Duskwatch Recruiter,Surgical Extraction,Giver of Runes,Flamewake Phoenix,"Nissa, Voice of Zendikar",Lyra Dawnbringer,Bloodghast,"Ugin, the Spirit Dragon",Mishra's Bauble,Cryptic Command,Inkmoth Nexus,Thing in the Ice,Scavenging Ooze,Runed Halo,Life from the Loam,"Ashiok, Dream Render",Leyline of the Void,Darkblast,Thragtusk,Seachrome Coast,World Breaker,Eidolon of Rhetoric,Yixlid Jailer,Vengevine,Phantasmal Image,Razorverge Thicket,Collector Ouphe,Phyrexian Revoker,Sleight of Hand,Geier Reach Sanitarium,City of Brass,"Vivien, Champion of the Wilds",Boros Charm,Academy Ruins,Devoted Druid,Memnite,Fulminator Mage,Matter Reshaper,Commandeer,Voice of Resurgence,Sakura-Tribe Elder,Force of Negation,Pact of Negation,Burning Inquiry,Celestial Colonnade,"Sunhome, Fortress of the Legion",Pendelhaven,Godless Shrine,Spire of Industry,Dark Confidant,Collected Company,Eldrazi Temple,Choke,Thalia's Lieutenant,Deflecting Palm,Breeding Pool,Arcbound Ravager,Noble Hierarch,Collective Brutality,Whir of Invention,"Kalitas, Traitor of Ghet",Liquimetal Coating,Supreme Verdict,Thoughtseize,Serum Visions,Knight of the Reliquary,Creeping Tar Pit,Legion Warboss,Scapeshift,Settle the Wreckage,Leyline of Sanctity,Chalice of the Void,Seasoned Pyromancer,Gavony Township,Etched Champion,Postmortem Lunge,"Azusa, Lost but Seeking",Monastery Swiftspear,Street Wraith,Saheeli Rai,Molten Rain,Hollow One,Supreme Phantom,Sword of the Meek,Amulet of Vigor,"Jace, the Mind Sculptor",Liliana of the Veil,Torpor Orb,"Thrun, the Last Troll",Ancient Stirrings,Ghost Quarter,Spellskite,Spell Queller,"Tezzeret, Agent of Bolas",Coalition Relic,Sakura-Tribe Scout,Lightning Bolt,Vendilion Clique,Birds of Paradise,Rest in Peace,Grim Lavamancer,Eidolon of the Great Revel,"Kira, Great Glass-Spinner",Traverse the Ulvenwald,Relic of Progenitus,Wipe Away,Kozilek's Return,Restoration Angel,Shambling Vent,Copperline Gorge,Polluted Delta,"Karn, Scion of Urza",Bloodbraid Elf,Monastery Mentor,Elvish Archdruid,"Kambal, Consul of Allocation",Tidehollow Sculler,Kitchen Finks,Heritage Druid,Ancestral Vision,Goblin Lore,Kaya's Guile,"Ugin, the Ineffable",Tireless Tracker,Thopter Foundry,Temple Garden,Gifts Ungiven,Silent Clearing,Mana Confluence,Lightning Axe,"Chandra, Torch of Defiance","Thalia, Guardian of Thraben",Lava Spike,Ramunap Excavator,Bedlam Reveler,Grafdigger's Cage,Champion of the Parish,Mycosynth Lattice,Arid Mesa,Farseek,Misty Rainforest,Dismember,Inventors' Fair,Leonin Arbiter,Damnation,Desperate Ritual,Hissing Quagmire,Throne of Geth,Blooming Marsh,Windswept Heath,Glimmervoid,Tarmogoyf,Ranger-Captain of Eos,Death's Shadow,Engineered Explosives,Selfless Spirit,Sulfur Falls,Mutagenic Growth,Unified Will,Extirpate,Golgari Thug,Day of Judgment,Prismatic Vista,"Shalai, Voice of Plenty",Fatal Push,Stony Silence,"Baral, Chief of Compliance",Obstinate Baloth,Scalding Tarn,Fracturing Gust,Basilisk Collar,Meddling Mage,Shivan Reef,Simian Spirit Guide,Blast Zone,Karn Liberated,All Is Dust,Deputy of Detention,Marsh Flats,Unsettled Mariner,"Emrakul, the Promised End",Glacial Fortress,Bloodstained Mire,Assassin's Trophy,Eladamri's Call,"Nissa, Vital Force",Walking Ballista,Eternal Witness,Prized Amalgam,Cinder Glade,Detention Sphere,Logic Knot,Goblin Engineer,"Valakut, the Molten Pinnacle",Gravecrawler,Bontu's Last Reckoning,"Liliana, the Last Hope",Abrupt Decay,Reflector Mage,"Urza, Lord High Artificer",Inspiring Vantage,Field of Ruin,Unclaimed Territory,"Kataki, War's Wage",Primal Command,"Anafenza, the Foremost",Summoner's Pact,"Oboro, Palace in the Clouds",Ancient Ziggurat,Utopia Sprawl,Finale of Promise,"Kiki-Jiki, Mirror Breaker",Blood Moon,Bridge from Below,Hallowed Fountain,Ice-Fang Coatl,Goblin Rabblemaster,"Jace, Vryn's Prodigy",Blackcleave Cliffs,Abrade,Hardened Scales,Tectonic Edge,Kolaghan's Command,Steel Overseer,Ensnaring Bridge,Goblin Guide,Through the Breach,Expedition Map,Arclight Phoenix,Wrath of God,Eldrazi Displacer,Yavimaya Coast,"Saheeli, Sublime Artificer",Stomping Ground,Defense Grid,Tolaria West,Might of Old Krosa,Ratchet Bomb,Dryad Arbor,Ravenous Trap,Experimental Frenzy,Manamorphose,Grove of the Burnwillows,Finale of Devastation,Auriok Champion,"Nahiri, the Harbinger",Mwonvuli Acid-Moss,Mox Opal,Gemstone Mine,"Kaya, Orzhov Usurper",Baneslayer Angel,Search for Azcanta,"Emrakul, the Aeons Torn",Welding Jar,Stitcher's Supplier,Steam Vents,Laboratory Maniac,"Teferi, Hero of Dominaria","Gideon, Ally of Zendikar",Drowned Catacomb,Dead of Winter,"Ulamog, the Ceaseless Hunger",Aether Vial,Sorcerous Spyglass,"Thalia, Heretic Cathar",Dreadbore
2011-08-24,0,4426,1950,0,0,0,2,0,8,8,0,1,0,0,2,0,0,0,0,2,0,0,12,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,0,0,0,6,0,0,3,0,0,0,4,0,0,2,1,0,1,0,0,0,26,0,0,0,7,0,0,0,0,0,8,0,0,0,10,3,0,0,4,0,0,4,0,4,4,1,0,18,3,0,0,0,20,3,0,3,0,0,0,0,3,0,0,7,6,0,0,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,12,8,0,0,0,12,0,1,0,2,0,1,5,0,11,0,0,0,0,0,6,8,6,0,0,0,0,0,15,0,8,0,0,8,0,0,10,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,2,12,2,5,0,4,0,0,31,13,8,0,8,0,0,0,8,0,0,0,0,4,0,0,4,0,4,0,9,21,4,0,0,0,0,0,0,4,2,0,0,0,0,0,12,0,0,0,0,0,7,0,33,14,0,0,5,4,0,0,0,0,0,18,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,14,24,0,0,0,0,0,0,4,6,0,10,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,19,0,6,0,0,0,0,0,0,1,0,4,2,12,0,14,0,0,0,0,0,7,0,0,0,0,5,4,0,4,8,0,0,0,0,12,0,0,7,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0
2011-08-25,1,4433,1650,0,0,0,0,4,7,10,0,3,0,0,4,0,0,0,0,4,0,0,16,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,8,0,0,3,1,0,2,0,8,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,4,0,0,0,1,0,22,4,0,0,0,16,1,0,3,0,0,0,0,0,0,0,4,6,0,0,2,3,0,4,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,16,0,0,0,0,4,0,4,0,2,0,1,2,0,11,0,0,0,0,0,3,12,6,0,0,0,0,0,15,0,4,2,0,3,0,10,4,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,16,6,12,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,2,17,4,0,0,0,0,0,0,5,2,0,0,0,0,0,8,0,0,0,0,0,18,0,27,2,0,0,1,3,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,19,0,0,0,8,0,0,1,5,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,16,0,5,0,0,0,0,0,0,7,0,4,0,16,0,14,0,5,0,0,0,2,0,3,0,2,3,0,0,3,0,0,0,0,0,13,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0
2011-08-25,2,4432,1351,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,2,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,1,0,20,0,24,0,3,0,8,0,0,0,0,0,4,0,0,0,10,1,0,0,8,0,0,0,0,0,4,0,0,17,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,4,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,4,9,0,0,0,0,0,9,0,15,0,0,0,0,0,4,0,0,3,0,0,0,8,0,15,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,30,0,4,0,8,0,0,0,7,0,0,0,0,4,0,0,8,0,0,0,1,16,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,24,0,17,4,0,0,0,0,0,0,0,0,4,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,3,0,0,2,5,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,17,0,0,0,0,0,4,0,0,3,0,0,0,12,0,8,0,0,0,0,0,11,0,0,0,2,5,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0
2011-08-25,3,4431,1050,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,0,0,8,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,4,0,3,0,8,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,4,0,0,4,1,0,16,0,0,0,0,12,2,0,5,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,14,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,14,0,2,6,0,0,0,4,0,0,0,0,2,4,0,0,2,0,0,0,6,0,0,6,0,0,0,0,0,0,25,0,0,4,6,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,1,8,0,8,0,1,0,0,0,7,0,2,0,2,1,0,0,4,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0
2011-08-25,4,4430,1275,0,0,0,1,0,0,7,0,4,0,0,2,0,0,0,0,5,0,0,8,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,23,0,0,0,8,0,0,0,0,2,4,0,0,0,3,1,0,0,6,0,0,4,0,4,3,1,0,19,1,0,0,0,8,1,0,1,0,0,0,0,0,0,0,7,2,0,0,0,3,0,3,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,4,0,0,0,4,0,3,0,4,0,0,1,0,4,0,0,0,0,0,5,4,8,0,0,0,0,0,15,4,8,3,0,0,0,2,6,0,0,6,0,0,0,4,0,8,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,17,6,4,0,3,0,0,0,4,1,0,0,0,12,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,5,6,0,0,0,0,0,4,0,0,0,0,0,9,0,19,0,0,0,2,0,0,0,0,0,0,16,0,0,2,0,0,0,3,2,0,1,0,0,0,0,0,12,16,0,0,0,4,4,0,0,2,0,10,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,1,8,0,4,0,0,0,4,0,0,8,0,0,0,12,4,8,0,2,0,0,0,3,0,0,0,2,2,0,0,4,8,0,0,0,0,6,0,0,5,0,2,0,0,7,0,0,0,1,0,0,0,0,0,0
2011-08-25,5,4429,1800,0,0,0,0,0,6,3,0,9,0,0,1,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,3,0,0,0,0,0,7,0,0,0,5,0,0,0,1,0,0,12,0,0,5,0,0,1,0,26,0,39,0,0,0,23,0,0,0,0,0,0,0,0,0,7,4,0,0,11,0,0,0,0,0,0,4,0,42,3,0,0,0,20,2,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,12,0,0,0,12,0,5,0,6,0,0,3,0,8,0,0,0,0,0,7,0,8,0,0,0,0,0,11,0,22,2,0,3,0,9,14,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0,0,2,9,11,0,0,0,0,0,28,10,4,0,9,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,27,0,25,6,0,0,7,0,0,0,0,0,0,32,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,32,0,0,3,1,12,0,0,4,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,8,0,9,0,0,0,8,0,0,10,0,0,0,8,4,11,0,5,0,0,0,12,0,0,0,2,8,0,0,0,1,0,4,0,0,0,0,0,3,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0
2011-08-26,10,4434,1875,0,0,0,2,0,15,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,32,3,0,0,0,0,0,9,0,0,0,6,0,0,0,1,0,0,12,0,0,3,0,0,3,0,7,0,16,0,4,0,17,0,0,0,0,2,4,0,0,0,8,4,0,0,2,0,0,0,1,4,10,5,0,19,2,0,4,0,36,2,0,2,0,0,0,0,4,0,0,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,8,0,5,0,2,0,0,1,0,23,0,0,0,0,0,3,0,4,0,0,0,0,0,15,4,4,2,0,4,0,0,22,0,0,0,0,0,0,4,0,19,0,0,0,4,0,0,0,2,16,8,0,0,0,0,0,28,6,0,0,14,0,0,0,1,0,0,0,0,6,0,0,8,0,0,0,4,30,0,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,16,0,41,2,0,0,6,4,0,0,0,0,0,24,0,0,1,0,0,0,0,4,0,3,0,0,0,0,0,5,28,1,0,0,4,8,0,2,8,0,15,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,1,11,0,2,0,0,0,7,0,0,10,0,0,0,4,4,21,0,2,0,0,0,6,0,0,0,5,7,0,0,8,0,0,0,0,0,0,0,0,1,0,13,0,0,15,0,0,0,1,0,0,4,0,0,0
2011-08-26,8,4435,1200,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,5,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,1,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,4,0,2,0,10,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,8,2,0,0,0,0,0,6,4,0,0,0,8,0,0,11,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,2,0,16,0,2,0,0,0,0,24,0,8,0,9,0,0,0,5,0,0,0,0,4,0,0,4,0,0,0,6,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,15,0,29,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,3,0,7,10,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,8,3,19,0,0,0,0,0,10,0,0,0,1,6,0,0,4,0,0,0,0,0,8,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0
2011-08-26,9,4436,900,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,12,0,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,8,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,0,0,6,0,0,0,4,0,8,0,0,0,0,0,0,2,0,4,1,2,0,0,0,0,12,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,4,0,0,2,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,4,0,0,1,0,0,0,4,0,12,0,0,0,0,0,4,0,2,0,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-08-26,7,4438,1425,0,0,0,0,0,9,0,0,4,0,0,6,0,0,0,0,2,0,0,8,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,4,0,0,6,1,0,0,6,0,0,0,1,0,5,0,0,0,18,0,2,0,14,0,0,0,0,0,6,0,0,0,7,7,0,0,3,0,0,0,8,4,0,3,0,4,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,8,16,0,0,0,2,0,6,0,0,0,0,3,0,12,0,0,2,0,0,4,8,2,0,0,0,0,0,7,4,4,0,0,0,0,0,9,0,0,3,0,1,0,8,0,4,0,0,0,0,0,0,0,0,14,7,2,0,0,0,0,12,0,8,0,2,0,0,0,9,0,0,0,0,7,0,0,0,0,4,0,5,12,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,31,3,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,1,8,0,3,2,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,4,0,0,2,0,0,0,4,0,14,0,0,0,0,0,7,0,2,0,2,7,0,0,4,6,0,0,0,0,7,0,0,0,0,6,0,0,11,0,0,0,0,0,0,4,0,0,0
